Unlock,Name,Effect,How To Get,Location
False,A'taerii Booster,"While carrying a Heavy Weapon, gain 10% Damage and 10%Critical Chance.",Can be found in N'erud.,N'erud
False,Acid Stone,Increases ACID damage by 10% and ACID Resistance by 15%.,Can be bought from Reggie at Ward 13.,Ward 13
False,Ahanae Crystal,Deal 5% additional damage for each Status Effect the target is suffering from.,Can be bought from Reggie after killing any Yaesha world boss in Hardcore mode on any difficulty.,Yaesha
False,Akari War Band,Perfect Dodges increase Critical Chance by 15% and Critical Damage by 15% for 15s.,Can be bought from Cass.,Ward 13
False,Alchemy Stone,Increases base Lifesteal by 6% while suffering from a negative STATUS or BLIGHT Effect.,Can be found in Losomn as a random drop.,Losomn
False,Alumni Ring,Increases all Elemental damage dealt by 10%.,Can be found in Losomn - Morrow Parish. Found on a tomb outside of the Asylum after defeating The Nightweaver.,Losomn
False,Amber Moonstone,"When the wearer's Health drops below 35%, all incoming damage is reduced by 25% and wearer becomes immune to Temporary Status Effects.",Can be bought from Cass.,Ward 13
False,Anastasija's Inspiration,"When receiving healing effects, gain HASTE for 10s.",Can be found in Root Earth - Also can be bought from Whispers at Ward 13,Ward 13
False,Archer's Crest,Increases Projectile Speed by 20% and Decreases Weapon Charge Time by 25%.,Can be found in Yaesha - Endaira's End.,Yaesha
False,Assassin's Seal,Reduces enemy Awareness Range by 25%. Increases all damage dealt to enemies not targeting wearer by 10%.,Can be found in Losomn - Council Tribunal.,Losomn
False,Atonement Fold,"Self-inflicts BLEEDING Status upon the wearer, causing 1.1 BLEED damage per second. Increases Critical Chance by 10%","Can be bought from Leywise in Forlorn Coast for x500 Scrap
Exclusive Ring for The Awakened King DLC.",Unclear
False,Band Band,Icreases Speed of Revive and being Revived by 35%. Increases Downed Health and Downed Movement Speed by 100%.,Can be found in Yaesha - Endaira's End. A reward for completing Wind Tower puzzle in co-op (requires two players to complete).,Yaesha
False,Band of Accord,Ammo acquired on pickup is increased by 25% per ally also wearing this ring and is shared with other allies.,Can be bought from Reggie after doing the High Five emote in co-op.,Unclear
False,Band of the Fanatic,Increases Status Effect Damage by 25% and reduces Status Effect Duration by 65%,"Given the Preacher if you are wearing the whole Zealot's Set.
Exclusive Ring for The Awakened King DLC.",Unclear
False,Berserker's Crest,Increases Melee Charge Speed by 20% and reduces Melee Stamina Cost by 25%.,Can be found in Yaesha - The Chimney.,Yaesha
False,Bisected Ring,Gain Infinite Stamina. All damage received is increased by 15%.,"Found in the Labyrinth Backrooms, in The Labyrinth.",Unclear
False,Bitter Memento,Sets 1% of wearer's Max Health as Grey Health,Losomn - Offer Memoriam Medallion Keyto Nightweaver's Web.,Losomn
False,Black Cat Band,"When taking fatal damage, instead of dying, the wearer's Health will drop to 1, and Movement Speed will increase by 25% for 10s. 2m cooldown.",Can be bought from Reggie after dying 15 times.,Unclear
False,Black Pawn Stamp,Reduces Cooldowns of Skills by 10%.,Can be found in Losomn. Player needs to complete The Flames Event using only the Blue Flames.,Losomn
False,Blackout Ring,"After dealing 20% of the Weapon's Total Magazine base damage, increases Reload Speed by 3%. Stacks 5x Cleared on Reload.",Can be found in N'Erud - Vault of the Formless.,N'erud
False,Blasting Cap Ring,Increases Explosive damage by 10%.,Can be found in N'Erud - Timeless Horizon.,N'erud
False,Blessed Ring,"After receiving a benefit from a Relic, gain 2 Stacks of BULWARK for 30s.",Can be bought from Cass.,Ward 13
False,Blood Jewel,"Charged Melee Attacks apply BLEEDING, dealing 460 BLEEDdamage over 20s.",Can be found in Yaesha - The Forbidden Grove.,Yaesha
False,Blood Tinged Ring,Gain 2 Health Regeneration per second when within 25m of a BLEEDING entity.,Can be found in Yaesha - The Lament.,Yaesha
False,Booster Ring,Increases all Status Resistances by 25.,Can be found in Losomn - Council Chamber.,Losomn
False,Braided Thorns,"After killing an enemy, gain 15% increased Critical Chance for 10s.",Can be bought from Cass.,Ward 13
False,Brawler's Pride,Increases Melee Attack Speed by 15%.,"Can be found in Yaesha as a random drop.
Exclusive Ring for The Awakened King DLC.",Yaesha
False,Bridge Wardens Crest,Perfect Dodge increases Melee Damage by 15% for 7 seconds. Perfect Evade Flop also gains 10% Damage Reduction for the duration.,"When you speak to the Bridge Warden and have NOT killed any of the Fae who are fighting with the Dran, he will award you this ring and praise you for not succumbing to the blood hunger.",Ward 13
False,Burden of Departed,Reduces Total Relic Charges by 33%. Increases all damage dealt by 10%,Defeat The One True King while having Burden of the Divine equipped.,Unclear
False,Burden of the Audacious,Decreases all healing by 50%. Perfect Dodges heal for 20% of Max Health.,Can be bought from Cass.,Ward 13
False,Burden of the Destroyer,Decreases Ideal Range of all Firearms by 25%. Increases all damage dealt by 15%.,Can be bought from Cass.,Ward 13
False,Burden of the Divine,All damage dealt by wearer is reduced by 10%. 50% of self healing applies to allies.,Can be found in Losomn as a random drop.,Losomn
False,Burden of the Follower,Reduces Fire Rate by 15%. Increases Mod Power Generation by 50%.,Can be found in Yaesha - Endaira's Endin a hidden room.,Yaesha
False,Burden of the Gambler,Disables Weakspots. Increases Critical Chance by 10% and Critical Damage by 20%.,Cass in Ward 13 can potentially sell this ring.,Ward 13
False,Burden of the Mariner,Increases Skill Cooldowns by 25%. Generate 10% additional Mod Power for each Skill on Cooldown.,"Can be found in N'Erud - Ascension Spire.
Can be crafted at Drzyr Replicator, you will need the following Materials: x10 Iron, 500 Scrap.",N'erud
False,Burden of the Rebel,Reduces Skill Cooldowns by 15% but decreases Relic Use Speed by 25%.,"Can be found in Yaesha - Red Throne, as a reward from the Eternal Empress if you give her the Thaen Seed.",Yaesha
False,Burden of the Sciolist,Reduces Ammo Reserves by 25%. Increases Mod and Skill Damage by 15%,"Give the Bookbound Medallion to Leywise to receive the Burden of the Sciolist
Exclusive Ring for The Awakened King DLC.",Unclear
False,Burden of the Stargazer,Reduces Skill Cooldowns by 15%. Activating a Skill costs 15% Health.,Can be found in N'Erud - Tower of the Unseen as a random drop.,N'erud
False,Burden of the Warlock,Reduces Mod Power Requirement by 15%. Activating a Mod costs 15% Health as Grey Health. Activation cannot kill wearer.,Can be found in Losomn as a random drop.,Losomn
False,Captain's Insignia,Increases Revive Speed and Relic Consume Speed by 25%per downed or dead ally. Max 2 stacks.,Can be found in Yaesha - Endaira's End. Co-op only.,Yaesha
False,Cataloger's Jewel,Automatically generates 8 Mod Power per second.,Can be found in Losomn - Beatific Palace.,Losomn
False,Celerity Stone,Increases Consumable and Relic Use Speed by 20%.,Can be found in Yaesha - The Lament.,Yaesha
False,Compulsion Loop,"After killing an enemy, gain 5% Fire Rate and Melee Attack Speed for 7s. Stacks 3x.",Can be bought from Cass.,Ward 13
False,Conservation Seal,For every 10% of Health missing (Max 50%) gain 5% chance to not consume Relic and 5% increased Relic Efficacy on next use.|,Can be found in N'Erud - Vault of the Formless.,N'erud
False,Constant Variable Ring,Increases Ranged damage up to 20% based on current Weapon's Overheat value.,Can be found in N'Erud - Tower of the Unseen.,N'erud
False,Crimson Dreamstone,Crit hits increase Skill Damage 1% for 10s. Max stack 15.,Use Liquid Escape while taking on the Ethereal Manor Event,Unclear
False,Dead King's Memento,Increases Health by 15.,Can be bought from Cass.,Ward 13
False,Deceiver's Band,"After performing a Slide, gain 15% Evade Speed and 10%Movement Speed for 12s.",Can be bought from Cass.,Ward 13
False,Deep Pocket Ring,Increases Ammo Reserves by 25%.,Can be found in N'Erud as a random drop.,N'erud
False,Defensive Action Loop,"While reloading, and for 3s after reload completes, incoming damage is reduced by 10%.",Can be found in N'Erud - Astropath's Respíte. Random Drop.,N'erud
False,Dense Silicon Ring,Gain 200% of Health Regenerated as Mod Power.,Can be found in The Labyrinth.,Unclear
False,Devoured Loop,Critical Hits have 1% chance to reset Skill Cooldowns. Can only occur once every 10s. Increases all incoming damage by 10%.,Can be bought from Reggie after completing Campaign on Apocalypse difficulty.,Unclear
False,Digested Hog Lure,Reloading increases Mod Damage by 10% for 5s.,"Can be found in Forlorn Coast. Dropped by one of the hogs that attack you near the anchor statue.
Exclusive Ring for The Awakened King DLC.",Unclear
False,Drakestone Pearl,Enables Stamina Regeneration during Melee Attacks at 20%of the normal rate.,Can be found in Losomn Sewer locations. Player needs to be grabbed by a Manticora.,Losomn
False,Dran Memento,Increases Max Stamina by 20 and reduces Encumbrance by 5.,"Can be found in Losomn, by saving the dran in The Burning Event
Burning can be prevented by killing all the enemies, not allowing any to light the fire under the hanging man.",Losomn
False,Dran Scavenger Sigil,"Collecting Scrap, Iron, and Ammo pickups regenerates 15%of Max Health and increases all damage dealt by 8% for 30s.",Can be bought from Reggie after defeating any Losomn world boss in Hardcore mode on any difficulty.,Losomn
False,Dread Font,Increases Grey Health Regeneration rate by 2 per second.,Can be found in Losomn as a random drop.,Losomn
False,Dried Clay Ring,Grants 1 stack of BULWARK. Increases All Damage by 60% of the total Damage Reduction granted by BULWARK stacks,"Random drop in Losomn.
Exclusive Ring for The Awakened King DLC.",Losomn
False,Drzyr Sniper Sigil,Increase the minimum damage at Max Fallof Range from 20%to 40%.,Can be bought from Reggie after defeating any N'Erud world boss in Hardcore mode on any difficulty.,N'erud
False,Dull Steel Ring,Improves Dodge roll by 1 weight class.,Can be bought from Reggie after defeating 15 World Bosses (can be done solo or co-op).,Unclear
False,Dying Ember,Gain 6% of base Melee damage dealt as Lifesteal.,Can be found in Root Earth - Ashen Wasteland.,Root Earth
False,Elevated Ring,Increases Dodge Weight Threshold by 5. Reduces Encumbrance by 5,"Can be found in Forlorn Coast. As you access the lift to get down, on a body in front of you.
Exclusive Ring for The Awakened King DLC.",Unclear
False,Embrace of Sha'Hala,Wearer gains 5% incoming damage reduction for each Negative Status Effect or Blight they are suffering from. Max 4stacks.,"Can be found in N'Erud, by speaking to The Custodian after defeating Sha'Hala.",N'erud
False,Encrypted Ring,Using a Mod regenerates 20% of max HP over 10s. Reapplication increases duration up to a max of 30s.,Can be found in The Labyrinth.,Unclear
False,Endaira's Endless Loop,"After Sprinting for 2s, the wearer gains 1.5 Health Regeneration per second until they stop Sprinting.",Can be found in Yaesha - Endaira's End.,Yaesha
False,Excess Coil,Activating a Skill grants a SHIELD for 25% of Max Health. Cannot stack with itself. Lasts 15s.,Can be found in N'Erud - Robot Hangerevent.,N'erud
False,Fae Bruiser Ring,Dealing Melee damage grants 2 Stack of BULWARK for 15s. Does not stack with itself.,Can be found in Losomn as a random drop.,Losomn
False,Fae Hunter Ring,Increases Range of Firearms by 30%.,Can be found in Losomn as a random drop.,Losomn
False,Fae Protector Signet,Increases Max Health and Stamina by 10 and Reduces Encumbrance by 5.,Can be found in Losomn - Council Chamber. Players have to face The Council during The Fae Council Event.,Losomn
False,Fae Shaman Ring,Increases Health Regeneration by 0.334 and Relic Use Speed by 25%.,Can be found in Losomn - Council Chamber.,Losomn
False,Fae Warrior Ring,Increases Melee Damage by 15%.,Can be found in Losomn - Ironborough.,Losomn
False,Faelin's Sigil,Melee Damage generates 10% additional Mod Power.,Can be found in Losomn - Beatific Gallery. Given by Faelin if you kill Faerin and report to him.,Losomn
False,Faerin's Sigil,Critical and Weakspot Hits generates 10% additional Mod Power.,Can be found in Losomn - Malefic Gallery. Given by Faerin if you kill Faelin and report to him.,Losomn
False,Feastmaster's Signet,Increases active Concoction Limit by1.,"Can be found in Losomn, The Great Hall. The ring is located behind the fireplace in the feast room.",Losomn
False,Feedback Loop,Perfect Dodge triggers a 3m AOE blast that deal 115 SHOCKDamage and applies OVERLOADED.,Can be found in N'Erud -,N'erud
False,Fire Stone,Increases FIRE damage by 10% and FIRE Resistance by 15.,Can be found in Losomn - also can be bought from Reggie at Ward 13 for 500,Losomn
False,Flyweight's Sting,"Increases Melee damage while Armor Encumbrance is below 50. Damage bonus increases with lower Encumbrance, up to 25% at 0 Weight.",Can be found in Root Earth - Corrupted Harbor.,Root Earth
False,Focusing Shard,Continuously Aiming Down Sights reduces Recoil by 25% and gradually reduces Spread up to 35% over 3.5s.,Can be found in N'Erud -,N'erud
False,Frivolous Band,Increases Evade Speed by 10%. Perfect Evades increase Fire Rate by 10% and Melee Speed by 10% for 10s.,"Can be found in Yaesha - The Forbidden Grove. Rewarded to the player by Bedel of the Vaunnt after reviving The Doe in the Ravagerencounter. 
Player needs to choose sarcastic answers when first speaking to Bedel and choose ""Maybe..."" dialogue option when inquired about who saved The Doe. This reminds Bedel about his friend and he gives player the ring.",Yaesha
False,Galvanized Resupply Band,Increases Ammo Pickups by 50%.,Can be found in N'Erud druring the Supply Ship Event.,N'erud
False,Game Master's Pride,Reduces all healing by 50%. Splits all damage and remaining healing evenly amoung all allies wearing this ring.,Can be found in Losomn - Postulant's Parlor. Co-op only.,Losomn
False,Generating Band,Regenerate 3% of Max Health per second while a Shield is active.,Can be found in N'Erud - The Flooded Room Event.,N'erud
False,Grounding Stone,Increases SHOCK damage by 10% and SHOCK Resistance by 15.,"Can be found in Losomn.
Can also can be bought from Reggie at Ward 13 for 500",Losomn
False,Guardian's Ring,Adds 1 Stack of BULWARK when within 15m of an enemy. Increases to 2 Stacks for 10s after taking Melee damage.,Can be found in Yaesha - The Nameless Nest.,Yaesha
False,Gunslinger's Ring,Increases Firearm Swap Speed by 30% and Reload Speed by 10%.,"Ward 13: Talk to Mudtooth and ask him about his stories, repeat this multiple times (about 10 stories). Eventually Mudtooth will be thankful for your time and reward you with the Gunslinger's Ring.",Ward 13
False,Hardcore Metal Band,Taking damage adds 1 stack of BULWARK which individually falls of after 10s. Max 5 stacks.,Can be found in N'Erud as a random drop.,N'erud
False,Hardened Coil,Reduces all incoming damage by 3% for each 10% missing Health. Max 15% reduction.,Can be found in Yaesha - Forgotten Field.,Yaesha
False,Haymaker's Ring,Increase Melee damage by 0.2% for every 1 points of Armor Encumbrance.,Can be found in Root Earth - Ashen Wasteland.,Root Earth
False,Heart of the Wolf,Increases Max Stamina by 25 and Movement Speed by 10%.,Can be found in Yaesha as a random drop.,Yaesha
False,Hex Ward,Prevents CURSE Blight.,"Can be cafting at Nimue in Nimue's Retreat, you will need the following Materials: x5 Lumenite Crystal.",Unclear
False,Jewel of the Beholden,"On Relic Use, increase Mod Damage by 15% for 10s","Can be found in Forlorn Coast. Given by Nimue if players kill The One True King, but don't talk to her previously.
Exclusive Ring for The Awakened King DLC.",Unclear
False,Kinetic Cycle Stone,Increases Mod and Skill Cast Speed by 20%.,Can be found in Root Earth - Corrupted Harbor.,Root Earth
False,Lighthouse Keeper's Ring,Automatically generate 3 Mod Power per second for each entity within 10m suffering from a Negative Status Effect. Max 5 stacks.,"Unlock the door of the Lighthouse in Derelict Lighthouse using the Lighthouse Key and in the next room you will find the Ring.
Exclusive Ring for The Awakened King DLC.",Unclear
False,Lithic Signet,Reduces all incoming damage by 7%.,Can be found in Yaesha - The Lament - The Twisted Chantry.,Yaesha
False,Lodestone Ring,Increases all damage dealt against illuminated enemies by 5%.,Rewarded by Bedel of the Vaunnt if the players talks to him while wearing the Lodestone Crown after defeating the Ravager.,Unclear
False,Low Yield Recovery Ring,Killing an enemy regenerates 6% Max Health over 6s. Additional kills increase duration by 6s. Max 30s.,Can be found in N'Erud - Astropath's Respíte.,N'erud
False,Mechanic's Cog,"While carrying an Engineer Heavy Weapon, gain 15% Movement Speed and 1 stack of BULWARK",Can be bought from Cass.,Ward 13
False,Metal Driver,Killing Blows increase Reload Speed by 5% for 7s. Stacks 3x.,Can be found in N'Erud - Vault of the Formless.,N'erud
False,Meteorite Shard Ring,Increases Encumbrance by 50. Increases Unarmed damage by 50%.,"Can be found in N'Erud.
Can be crafted at Drzyr Replicator, you will need the following Materials: x10 Iron, 750 Scrap.",N'erud
False,Microcompressor,Reduces Heat Generation when firing weapons that Overheat by -30%. Increases Heat Reduction Rate by 30%.,"Can be found in N'Erud.
Can be crafted at Drzyr Replicator, you will need the following Materials: x10 Forged Iron, 750 Scrap.",N'erud
False,Momentum Driver,"After Sprinting for 2s, Movement Speed is increased by 15%and Stagger Level reduced by 1.",Can be found in N'Erud -,N'erud
False,Offering Stone,"Dealing Ranged Damage increases all Damage by 1% for 1s. Stacks 15x. After killing an enemy, extends the duration to 10s.",Can be found in Losomn as a random drop.,Losomn
False,Outcast Ring,Increases Reload Speed by 5% for 15s after reloading. Stacks 5x.,"Can be found in Losomn, after completing the Man in the Sewers event. You have to give him the Spirit Wisp Amulet, and in turn you will receive the Outcast Ring",Losomn
False,Painless Obsidian,"When Grey Health is present, gain Haste.",Losomn Random World Drop,Losomn
False,Point Focus Ring,Reduces Initial Spread and Recoil by 35%.,Can be found in N'Erud as a random drop.,N'erud
False,Power Complex,Increases All Damage dealt by 1% per second to a maximum of 15%. Dodging resets Power Complex to 0%,"Can be found in N'Erud as a random drop.
Exclusive Ring for The Awakened King DLC.",N'erud
False,Power Saver,"At Max Health, gain a 25% chance to not use a Relic charge.",Can be found in N'Erud.,N'erud
False,Probability Cord,Increases Crit Damage by 30%.,Can be found in Root Earth - Corrupted Harbor.,Root Earth
False,Propulsion Loop,"After killing an enemy, increases Movement Speed by 5% and Consumable Use Speed by 10% for 10s. Stacks 3x.",Can be found in N'Erud.,N'erud
False,Provisioner Ring,Firearms reload over time while stowed.,Can be bought from Reggie after deferating the Labyrinth Sentinel in Hardcore mode on any difficulty.,Unclear
False,Reaping Stone,"After an Elemental Status Effect is removed from wearer, they become immune to all Elemental Status Effects and gain 3%of base damage dealt as Lifesteal for 10s.",Can be found in Root Earth - Ashen Wasteland.,Root Earth
False,Red Ring of Death,Duplicates the last damaging Negative Status applied to target. Reduces outgoing Status Effect Damage by 10%.,Found randomly in Losomn,Losomn
False,Rerouting Cable,Gain 5% of Max Health as a SHIELD for 5s after spending 20 Stamina. Accumulation resets after 5s of inaction. Max 50% SHIELD.,Can be found in N'Erud - Vault of the Formless.,N'erud
False,Reserve Boosting Gem,"Increases Health Regeneration by 0.333 per second. 1s after going below 50% Health, increases regeneration value to 2per second until 50% Health is reached.",Can be found in N'Erud - The Hatchery.,N'erud
False,Restriction Cord,Restricts the wearer from Healing above 50% of their Max Health and reduces all incoming damage by 15%.,Can be bought from Bedel of The Vaunntin Yaesha.,Yaesha
False,Ring of Crisis,"When wearer's Health drops below 25%, gain a Shield for 25% of Max Health. Lasts 10s.",Can be found in N'Erud - The Hatchery.,N'erud
False,Ring Of Deflection,Direct Damage against wearer has a 35% Chance to be converted entirely to Grey Health.,Can be found in N'Erud -,N'erud
False,Ring of Diversion,Increases invulnerability window while evading and sliding.,"Can be found in Yaesha - The Lament, inside the tomb past the floating pillar trap. The door to the tomb is opened with Kolket's Key.",Yaesha
False,Ring of Flawed Beauty,Ranged Weakspot damage is increased by 25%. Ranged damage is reduced by 15% when failing to hit a Weakspot.,Can be bought from Cass.,Ward 13
False,Ring of Grace,Taking enemy damage causes 15% of Maximum Health to regenerate over 10s.,"Can be found in Losomn - Harvester's Reach, by completing Riewen's request.",Losomn
False,Ring of Infinite Damage,Increases fire rate by 8%.,"Refuse to give the Bookbound Medallion to Leywise the first time, and accept the second time.
Exclusive Ring for The Awakened King DLC.",Unclear
False,Ring of Omens,Evades cost 15% Max Health as Grey Health instead of Stamina.,Can be found in Yaesha - Cathedral of Omens. After solving the Blood Moon puzzle (opening the right side door) can be found behind a red trap door on the ground. Trap door only opens if a Blood Moon is present.,Yaesha
False,Ring Of Restocking,Reloads within 1.5s of a Critical Hit or Weakspot Kill are 20%faster.,"Can be found in N'Erud, Random Drop.",N'erud
False,Ring Of Retribution,Incoming enemy damage increases Reload Speed and all outgoing damage by 10%. Lasts 15s.,Feed Dria's Anklet at the Nightweaver's Web.,Unclear
False,Ring of the Castaway,Increases base Consumable Duration by 50%,"Can be found in The Forgotten Comune. In the scaffolding area, climb up and jump to the side to find it on a body",Unclear
False,Ring of the Damned,Increases all damage dealt by10% while Grey Health is present.,"Can be found in Losomn, The Great Sewers.",Losomn
False,Ring of the Forest Spirit,Relic Healing Effectiveness is increased by 15%.,Can be found in Yaesha - The Forbidden Grove or The Forgotten Field as a random drop.,Yaesha
False,Ring of the Robust,"Increases Max Health by 10, and Armor by 20.",Can be found in Losomn as a random drop.,Losomn
False,Ring of the Vain,Reduces Invulnerability Window on Evade and Combat Slide by 50%. Increases Movement Speed while aiming by 35%,Random world drop in Losomn,Losomn
False,Rock of Anguish,Gain 5% Movement Speed and 7.5% Reload Speed for every 25% of Max Healthmissing.,Can be bought from Cass.,Ward 13
False,Rotward,Prevents ROOT ROT Blight.,Can be bought from Bedel of The Vaunntin Yaesha.,Yaesha
False,Rusted Heirloom,Grants 2 Stacks of BULWARK below 50% Max HP.,"Can be found in Losomn sewer locations, in a hidden room in a locked safe.",Losomn
False,Sagestone,Increases earned Experience by 10%.,"Yaesha - Possible spawn in The Lament
Yaesha - Possible spawn in The Twisted Chantry",Yaesha
False,Sapphire Dreamstone,Critical Hits reduce Skill Cooldowns by 3%. Can only happen once every 2s.,Can be found in Losomn - Council Chamber. Players have to take a secret path in order to find it.,Losomn
False,Seal of the Empress,Increases Max Health by 20. Reduces Max Stamina by 5.,Can be found in Yaesha - The Red Throne. Rewarded by The Eternal Empress if the player finishes the main quest without giving her the Thaen Seed.,Yaesha
False,Shadow of Misery,Increase Status Effect Damage by 15%,Random world drop in Losomn,Losomn
False,Shaed Stone,Increases Skill damage by 12%,Can be found at Glistering Cloister Dungeon: Can be found by solving the mirror puzzle.,Unclear
False,Shard Banded Ring,Increases Mod damage by 12%.,Can be found in The Labyrinth.,Unclear
False,Shiny Hog Lure,Reloading grants 25-30 Mod Power to both weapons based on percentage of Magazine reloaded.,Can be found in Losomn - Butcher's Quarter.,Losomn
False,Singed Ring,Increases all damage dealt to BURNING enemies by 10%.,Can be found in Losomn - Butcher's Quarter. watch or fail to save the hanging man during the burning event. use the checkpoint and then kill the pig next to the man,Losomn
False,Slayer's Crest,Increases Melee damage by 25% when attacking enemies from behind,Can be found in Yaesha - The Nameless Nest.,Yaesha
False,Soul Guard,Gain a stack of BULWARK for each active Summon.,"Can be found in Yaesha 
Can be crafted at Bloodmoon Altar. Required Material: Blood Moon Essence",Yaesha
False,Soul Link,Summons Lifesteal 5% of base damage dealt which returns to the wearer as Health.,Can be found in Yaesha - The Withering Weald - The Nameless Nest.,Yaesha
False,Soul Shard,Increase all damage dealt by 4% for each summon. Max 12%,Can be found in Yaesha as a random drop.,Yaesha
False,Spirit Stone,Increases Mod Power generation by 10%.,Can be found in Yaesha - The Twisted Chantry.,Yaesha
False,Stockpile Charger,"After picking up ammo, increases the damage of that Ammo Type by 13% for 20s.",Can be found in Losomn as a random drop.,Losomn
False,Stone of Balance,Increases all damage by 7%.,Can be found on Yaesha. Random drop.,Yaesha
False,Stone of Continuance,Increases Skill Duration by 25%.,Can be found in N'Erud - Tower of the Unseen. Random Drop.,N'erud
False,Stone of Expanse,Increases Ranged damage by 12%. Reduces all other damage dealt by 6%.,Can be found in N'Erud.,N'erud
False,Stone Of Malevolence,Elemental Status damage generates 15% additional Mod Power.,Can be found in Losomn - random world drop.,Losomn
False,Stream Coupler,Using a Skill regenerates 10% of Max Health over 5s.,"Can be found in Losomn - Cotton's Kiln, random world drop.",Losomn
False,Subterfuge Link,"After killing an enemy, increases the Cast Speed of the next Mod or Skill Cast by 35%. Lasts 15s or until consumed.",Can be found in N'Erud.,N'erud
False,Suppression Ward,Prevents SUPPRESSION Blight.,"Can be found in N'Erud.
Can be crafted at Drzyr Replicator, you will need the following Materials: x5 Iron, 250 Scrap.",N'erud
False,Targeting Jewel,Increases Range on all Firearms by 4m. Reduces Spread by 15%.,Can be found in N'Erud.,N'erud
False,Tarnished Ring,Increases damage of Unarmed Attacks by 30%.,"It can be found in Ward 13.
Near the armor merchant, there is a ladder, climb that ladder and talk to the man on the bed. He'll mention a story, keep interacting with him until he gives you the ring.",Ward 13
False,Tear of Kaeula,Increases Relic capacity by 2 while equipped,Can be found in Yaesha - Kaeula's Rest.,Yaesha
False,Tempest Conduit,"After receiving Elemental Damage, increases all damage dealt by 10% and Resistance to the received Element by 20 for 20s.",Can be found in Yaesha - Endaira's End.,Yaesha
False,Tightly Wound Coil,"When spending 75% or more of current magazine, gain a SHIELD ofr 15% of Max Health for 5s. Does not stack with itself.",Can be found in N'Erud - Void Vessel Facility.,N'erud
False,Timekeeper's Jewel,Increases the duration of all Status Effects applied by wearer. Durations varies per status.,Can be found in Losomn at the top of the Hewdas Clock. Open the chest near one of the windows to find it.,Losomn
False,Tomb Dweller's Ring,"Increases Movement Speed by 10% for 7s after Vaulting, Climbing, Leaping, and entering Water, stacks 3x. Reduces Fall Damage by 25%.",Can be found in Yaesha - The Lamentafter going through a hidden passageway.,Yaesha
False,Vacuum Seal,"Increases Automatic Pickup Range for Scrap by 150%. Picking up Scrap, Iron, or Ammo grants a SHIELD for 15% of Max Health for l0s Does not stack.",Can be found in N'Erud - Tower of the Unseen. Random Drop.,N'erud
False,Vestige of Power,"After 7s of not being damaged, increases Ranged and Melee Damage by 10%.",Can be found in Yaesha - The Chimney - Faithless Thicket,Yaesha
False,Wax Sealed Ring,Killing blows increase Ranged and Melee Damage by 4% for 15s. Stacks 3x.,Can be found in Yaesha - The Far Woods.,Yaesha
False,White Glass Bead,Perfect Dodge applies a SHIELD for 15% of Max Health. Lasts 10s. Cannot Stack with itself.,Acquired by insisting Leywise eat the Feast Master's Leftovers given to you by the Feastmaster in The Great Hall assuming you've met Leywise prior to the conversation on the same world roll of The Awakened King DLC. This also unlocks an Achievement called A Foul Feast.,Unclear
False,White Pawn Stamp,Reduces Mod Power Requirement by 10%.,Can be found in Losomn. Player needs to complete The Flames Event using only the White Flames.,Losomn
False,Wind Hollow Circlet,Increases Reload Speed by 12%.,Can be found in Yaesha - Endaira's End.,Yaesha
False,Wood Ring,Increases Stagger Damage by 15%,Can be found in Losomn as a random drop.,Losomn
False,Worn Admiral's Ring,All damage received is increased by 200%. All damage dealt is increased by 10%.,Can be bought from Reggie at Ward 13 for 500,Ward 13
False,Zania's Malice,Dealing Weakspot damage increases Weakspot damage by 10% for 7s. Stacks 3x.,Can be found in Root Earth - Ashen Wasteland.,Root Earth
False,Zohee's Ring,Increases Mod Duration by 15%.,"Can be found in Yaesha - Red Throne. Given to the player by Queen's Assistant after defeating the Corruptor, if Arrest  event was triggered.",Yaesha
