Unlock,Name,Effect,How To Get
FALSE,A'taerii Booster,"While carrying a Heavy Weapon, gain 10% Damage and 10%Critical Chance.",Can be found in N'erud.
FALSE,Acid Stone,Increases ACID damage by 10% and ACID Resistance by 15%.,Can be bought from Reggie at Ward 13.
FALSE,Ahanae Crystal,Deal 5% additional damage for each Status Effect the target is suffering from.,Can be bought from Reggie after killing any Yaesha world boss in Hardcore mode on any difficulty.
FALSE,Akari War Band,Perfect Dodges increase Critical Chance by 15% and Critical Damage by 15% for 15s.,Can be bought from Cass.
FALSE,Alchemy Stone,Increases base Lifesteal by 6% while suffering from a negative STATUS or BLIGHT Effect.,Can be found in Losomn as a random drop.
FALSE,Alumni Ring,Increases all Elemental damage dealt by 10%.,Can be found in Losomn - Morrow Parish. Found on a tomb outside of the Asylum after defeating The Nightweaver.
FALSE,Amber Moonstone,"When the wearer's Health drops below 35%, all incoming damage is reduced by 25% and wearer becomes immune to Temporary Status Effects.",Can be bought from Cass.
FALSE,Anastasija's Inspiration,"When receiving healing effects, gain HASTE for 10s.",Can be found in Root Earth - Also can be bought from Whispers at Ward 13
FALSE,Archer's Crest,Increases Projectile Speed by 20% and Decreases Weapon Charge Time by 25%.,Can be found in Yaesha - Endaira's End.
FALSE,Assassin's Seal,Reduces enemy Awareness Range by 25%. Increases all damage dealt to enemies not targeting wearer by 10%.,Can be found in Losomn - Council Tribunal.
FALSE,Atonement Fold,"Self-inflicts BLEEDING Status upon the wearer, causing 1.1 BLEED damage per second. Increases Critical Chance by 10%","Can be bought from Leywise in Forlorn Coast for x500 Scrap
Exclusive Ring for The Awakened King DLC."
FALSE,Band Band,Icreases Speed of Revive and being Revived by 35%. Increases Downed Health and Downed Movement Speed by 100%.,Can be found in Yaesha - Endaira's End. A reward for completing Wind Tower puzzle in co-op (requires two players to complete).
FALSE,Band of Accord,Ammo acquired on pickup is increased by 25% per ally also wearing this ring and is shared with other allies.,Can be bought from Reggie after doing the High Five emote in co-op.
FALSE,Band of the Fanatic,Increases Status Effect Damage by 25% and reduces Status Effect Duration by 65%,"Given the Preacher if you are wearing the whole Zealot's Set.
Exclusive Ring for The Awakened King DLC."
FALSE,Berserker's Crest,Increases Melee Charge Speed by 20% and reduces Melee Stamina Cost by 25%.,Can be found in Yaesha - The Chimney.
FALSE,Bisected Ring,Gain Infinite Stamina. All damage received is increased by 15%.,"Found in the Labyrinth Backrooms, in The Labyrinth."
FALSE,Bitter Memento,Sets 1% of wearer's Max Health as Grey Health,Losomn - Offer Memoriam Medallion Keyto Nightweaver's Web.
FALSE,Black Cat Band,"When taking fatal damage, instead of dying, the wearer's Health will drop to 1, and Movement Speed will increase by 25% for 10s. 2m cooldown.",Can be bought from Reggie after dying 15 times.
FALSE,Black Pawn Stamp,Reduces Cooldowns of Skills by 10%.,Can be found in Losomn. Player needs to complete The Flames Event using only the Blue Flames.
FALSE,Blackout Ring,"After dealing 20% of the Weapon's Total Magazine base damage, increases Reload Speed by 3%. Stacks 5x Cleared on Reload.",Can be found in N'Erud - Vault of the Formless.
FALSE,Blasting Cap Ring,Increases Explosive damage by 10%.,Can be found in N'Erud - Timeless Horizon.
FALSE,Blessed Ring,"After receiving a benefit from a Relic, gain 2 Stacks of BULWARK for 30s.",Can be bought from Cass.
FALSE,Blood Jewel,"Charged Melee Attacks apply BLEEDING, dealing 460 BLEEDdamage over 20s.",Can be found in Yaesha - The Forbidden Grove.
FALSE,Blood Tinged Ring,Gain 2 Health Regeneration per second when within 25m of a BLEEDING entity.,Can be found in Yaesha - The Lament.
FALSE,Booster Ring,Increases all Status Resistances by 25.,Can be found in Losomn - Council Chamber.
FALSE,Braided Thorns,"After killing an enemy, gain 15% increased Critical Chance for 10s.",Can be bought from Cass.
FALSE,Brawler's Pride,Increases Melee Attack Speed by 15%.,"Can be found in Yaesha as a random drop.
Exclusive Ring for The Awakened King DLC."
FALSE,Bridge Wardens Crest,Perfect Dodge increases Melee Damage by 15% for 7 seconds. Perfect Evade Flop also gains 10% Damage Reduction for the duration.,"When you speak to the Bridge Warden and have NOT killed any of the Fae who are fighting with the Dran, he will award you this ring and praise you for not succumbing to the blood hunger."
FALSE,Burden of Departed,Reduces Total Relic Charges by 33%. Increases all damage dealt by 10%,Defeat The One True King while having Burden of the Divine equipped.
FALSE,Burden of the Audacious,Decreases all healing by 50%. Perfect Dodges heal for 20% of Max Health.,Can be bought from Cass.
FALSE,Burden of the Destroyer,Decreases Ideal Range of all Firearms by 25%. Increases all damage dealt by 15%.,Can be bought from Cass.
FALSE,Burden of the Divine,All damage dealt by wearer is reduced by 10%. 50% of self healing applies to allies.,Can be found in Losomn as a random drop.
FALSE,Burden of the Follower,Reduces Fire Rate by 15%. Increases Mod Power Generation by 50%.,Can be found in Yaesha - Endaira's Endin a hidden room.
FALSE,Burden of the Gambler,Disables Weakspots. Increases Critical Chance by 10% and Critical Damage by 20%.,Cass in Ward 13 can potentially sell this ring.
FALSE,Burden of the Mariner,Increases Skill Cooldowns by 25%. Generate 10% additional Mod Power for each Skill on Cooldown.,"Can be found in N'Erud - Ascension Spire.
Can be crafted at Drzyr Replicator, you will need the following Materials: x10 Iron, 500 Scrap."
FALSE,Burden of the Rebel,Reduces Skill Cooldowns by 15% but decreases Relic Use Speed by 25%.,"Can be found in Yaesha - Red Throne, as a reward from the Eternal Empress if you give her the Thaen Seed."
FALSE,Burden of the Sciolist,Reduces Ammo Reserves by 25%. Increases Mod and Skill Damage by 15%,"Give the Bookbound Medallion to Leywise to receive the Burden of the Sciolist
Exclusive Ring for The Awakened King DLC."
FALSE,Burden of the Stargazer,Reduces Skill Cooldowns by 15%. Activating a Skill costs 15% Health.,Can be found in N'Erud - Tower of the Unseen as a random drop.
FALSE,Burden of the Warlock,Reduces Mod Power Requirement by 15%. Activating a Mod costs 15% Health as Grey Health. Activation cannot kill wearer.,Can be found in Losomn as a random drop.
FALSE,Captain's Insignia,Increases Revive Speed and Relic Consume Speed by 25%per downed or dead ally. Max 2 stacks.,Can be found in Yaesha - Endaira's End. Co-op only.
FALSE,Cataloger's Jewel,Automatically generates 8 Mod Power per second.,Can be found in Losomn - Beatific Palace.
FALSE,Celerity Stone,Increases Consumable and Relic Use Speed by 20%.,Can be found in Yaesha - The Lament.
FALSE,Compulsion Loop,"After killing an enemy, gain 5% Fire Rate and Melee Attack Speed for 7s. Stacks 3x.",Can be bought from Cass.
FALSE,Conservation Seal,For every 10% of Health missing (Max 50%) gain 5% chance to not consume Relic and 5% increased Relic Efficacy on next use.|,Can be found in N'Erud - Vault of the Formless.
FALSE,Constant Variable Ring,Increases Ranged damage up to 20% based on current Weapon's Overheat value.,Can be found in N'Erud - Tower of the Unseen.
FALSE,Crimson Dreamstone,Crit hits increase Skill Damage 1% for 10s. Max stack 15.,Use Liquid Escape while taking on the Ethereal Manor Event
FALSE,Dead King's Memento,Increases Health by 15.,Can be bought from Cass.
FALSE,Deceiver's Band,"After performing a Slide, gain 15% Evade Speed and 10%Movement Speed for 12s.",Can be bought from Cass.
FALSE,Deep Pocket Ring,Increases Ammo Reserves by 25%.,Can be found in N'Erud as a random drop.
FALSE,Defensive Action Loop,"While reloading, and for 3s after reload completes, incoming damage is reduced by 10%.",Can be found in N'Erud - Astropath's Respíte. Random Drop.
FALSE,Dense Silicon Ring,Gain 200% of Health Regenerated as Mod Power.,Can be found in The Labyrinth.
FALSE,Devoured Loop,Critical Hits have 1% chance to reset Skill Cooldowns. Can only occur once every 10s. Increases all incoming damage by 10%.,Can be bought from Reggie after completing Campaign on Apocalypse difficulty.
FALSE,Digested Hog Lure,Reloading increases Mod Damage by 10% for 5s.,"Can be found in Forlorn Coast. Dropped by one of the hogs that attack you near the anchor statue.
Exclusive Ring for The Awakened King DLC."
FALSE,Drakestone Pearl,Enables Stamina Regeneration during Melee Attacks at 20%of the normal rate.,Can be found in Losomn Sewer locations. Player needs to be grabbed by a Manticora.
FALSE,Dran Memento,Increases Max Stamina by 20 and reduces Encumbrance by 5.,"Can be found in Losomn, by saving the dran in The Burning Event
Burning can be prevented by killing all the enemies, not allowing any to light the fire under the hanging man."
FALSE,Dran Scavenger Sigil,"Collecting Scrap, Iron, and Ammo pickups regenerates 15%of Max Health and increases all damage dealt by 8% for 30s.",Can be bought from Reggie after defeating any Losomn world boss in Hardcore mode on any difficulty.
FALSE,Dread Font,Increases Grey Health Regeneration rate by 2 per second.,Can be found in Losomn as a random drop.
FALSE,Dried Clay Ring,Grants 1 stack of BULWARK. Increases All Damage by 60% of the total Damage Reduction granted by BULWARK stacks,"Random drop in Losomn.
Exclusive Ring for The Awakened King DLC."
FALSE,Drzyr Sniper Sigil,Increase the minimum damage at Max Fallof Range from 20%to 40%.,Can be bought from Reggie after defeating any N'Erud world boss in Hardcore mode on any difficulty.
FALSE,Dull Steel Ring,Improves Dodge roll by 1 weight class.,Can be bought from Reggie after defeating 15 World Bosses (can be done solo or co-op).
FALSE,Dying Ember,Gain 6% of base Melee damage dealt as Lifesteal.,Can be found in Root Earth - Ashen Wasteland.
FALSE,Elevated Ring,Increases Dodge Weight Threshold by 5. Reduces Encumbrance by 5,"Can be found in Forlorn Coast. As you access the lift to get down, on a body in front of you.
Exclusive Ring for The Awakened King DLC."
FALSE,Embrace of Sha'Hala,Wearer gains 5% incoming damage reduction for each Negative Status Effect or Blight they are suffering from. Max 4stacks.,"Can be found in N'Erud, by speaking to The Custodian after defeating Sha'Hala."
FALSE,Encrypted Ring,Using a Mod regenerates 20% of max HP over 10s. Reapplication increases duration up to a max of 30s.,Can be found in The Labyrinth.
FALSE,Endaira's Endless Loop,"After Sprinting for 2s, the wearer gains 1.5 Health Regeneration per second until they stop Sprinting.",Can be found in Yaesha - Endaira's End.
FALSE,Excess Coil,Activating a Skill grants a SHIELD for 25% of Max Health. Cannot stack with itself. Lasts 15s.,Can be found in N'Erud - Robot Hangerevent.
FALSE,Fae Bruiser Ring,Dealing Melee damage grants 2 Stack of BULWARK for 15s. Does not stack with itself.,Can be found in Losomn as a random drop.
FALSE,Fae Hunter Ring,Increases Range of Firearms by 30%.,Can be found in Losomn as a random drop.
FALSE,Fae Protector Signet,Increases Max Health and Stamina by 10 and Reduces Encumbrance by 5.,Can be found in Losomn - Council Chamber. Players have to face The Council during The Fae Council Event.
FALSE,Fae Shaman Ring,Increases Health Regeneration by 0.334 and Relic Use Speed by 25%.,Can be found in Losomn - Council Chamber.
FALSE,Fae Warrior Ring,Increases Melee Damage by 15%.,Can be found in Losomn - Ironborough.
FALSE,Faelin's Sigil,Melee Damage generates 10% additional Mod Power.,Can be found in Losomn - Beatific Gallery. Given by Faelin if you kill Faerin and report to him.
FALSE,Faerin's Sigil,Critical and Weakspot Hits generates 10% additional Mod Power.,Can be found in Losomn - Malefic Gallery. Given by Faerin if you kill Faelin and report to him.
FALSE,Feastmaster's Signet,Increases active Concoction Limit by1.,"Can be found in Losomn, The Great Hall. The ring is located behind the fireplace in the feast room."
FALSE,Feedback Loop,Perfect Dodge triggers a 3m AOE blast that deal 115 SHOCKDamage and applies OVERLOADED.,Can be found in N'Erud -
FALSE,Fire Stone,Increases FIRE damage by 10% and FIRE Resistance by 15.,Can be found in Losomn - also can be bought from Reggie at Ward 13 for 500
FALSE,Flyweight's Sting,"Increases Melee damage while Armor Encumbrance is below 50. Damage bonus increases with lower Encumbrance, up to 25% at 0 Weight.",Can be found in Root Earth - Corrupted Harbor.
FALSE,Focusing Shard,Continuously Aiming Down Sights reduces Recoil by 25% and gradually reduces Spread up to 35% over 3.5s.,Can be found in N'Erud -
FALSE,Frivolous Band,Increases Evade Speed by 10%. Perfect Evades increase Fire Rate by 10% and Melee Speed by 10% for 10s.,"Can be found in Yaesha - The Forbidden Grove. Rewarded to the player by Bedel of the Vaunnt after reviving The Doe in the Ravagerencounter. 
Player needs to choose sarcastic answers when first speaking to Bedel and choose ""Maybe..."" dialogue option when inquired about who saved The Doe. This reminds Bedel about his friend and he gives player the ring."
FALSE,Galvanized Resupply Band,Increases Ammo Pickups by 50%.,Can be found in N'Erud druring the Supply Ship Event.
FALSE,Game Master's Pride,Reduces all healing by 50%. Splits all damage and remaining healing evenly amoung all allies wearing this ring.,Can be found in Losomn - Postulant's Parlor. Co-op only.
FALSE,Generating Band,Regenerate 3% of Max Health per second while a Shield is active.,Can be found in N'Erud - The Flooded Room Event.
FALSE,Grounding Stone,Increases SHOCK damage by 10% and SHOCK Resistance by 15.,"Can be found in Losomn.
Can also can be bought from Reggie at Ward 13 for 500"
FALSE,Guardian's Ring,Adds 1 Stack of BULWARK when within 15m of an enemy. Increases to 2 Stacks for 10s after taking Melee damage.,Can be found in Yaesha - The Nameless Nest.
FALSE,Gunslinger's Ring,Increases Firearm Swap Speed by 30% and Reload Speed by 10%.,"Ward 13: Talk to Mudtooth and ask him about his stories, repeat this multiple times (about 10 stories). Eventually Mudtooth will be thankful for your time and reward you with the Gunslinger's Ring."
FALSE,Hardcore Metal Band,Taking damage adds 1 stack of BULWARK which individually falls of after 10s. Max 5 stacks.,Can be found in N'Erud as a random drop.
FALSE,Hardened Coil,Reduces all incoming damage by 3% for each 10% missing Health. Max 15% reduction.,Can be found in Yaesha - Forgotten Field.
FALSE,Haymaker's Ring,Increase Melee damage by 0.2% for every 1 points of Armor Encumbrance.,Can be found in Root Earth - Ashen Wasteland.
FALSE,Heart of the Wolf,Increases Max Stamina by 25 and Movement Speed by 10%.,Can be found in Yaesha as a random drop.
FALSE,Hex Ward,Prevents CURSE Blight.,"Can be cafting at Nimue in Nimue's Retreat, you will need the following Materials: x5 Lumenite Crystal."
FALSE,Jewel of the Beholden,"On Relic Use, increase Mod Damage by 15% for 10s","Can be found in Forlorn Coast. Given by Nimue if players kill The One True King, but don't talk to her previously.
Exclusive Ring for The Awakened King DLC."
FALSE,Kinetic Cycle Stone,Increases Mod and Skill Cast Speed by 20%.,Can be found in Root Earth - Corrupted Harbor.
FALSE,Lighthouse Keeper's Ring,Automatically generate 3 Mod Power per second for each entity within 10m suffering from a Negative Status Effect. Max 5 stacks.,"Unlock the door of the Lighthouse in Derelict Lighthouse using the Lighthouse Key and in the next room you will find the Ring.
Exclusive Ring for The Awakened King DLC."
FALSE,Lithic Signet,Reduces all incoming damage by 7%.,Can be found in Yaesha - The Lament - The Twisted Chantry.
FALSE,Lodestone Ring,Increases all damage dealt against illuminated enemies by 5%.,Rewarded by Bedel of the Vaunnt if the players talks to him while wearing the Lodestone Crown after defeating the Ravager.
FALSE,Low Yield Recovery Ring,Killing an enemy regenerates 6% Max Health over 6s. Additional kills increase duration by 6s. Max 30s.,Can be found in N'Erud - Astropath's Respíte.
FALSE,Mechanic's Cog,"While carrying an Engineer Heavy Weapon, gain 15% Movement Speed and 1 stack of BULWARK",Can be bought from Cass.
FALSE,Metal Driver,Killing Blows increase Reload Speed by 5% for 7s. Stacks 3x.,Can be found in N'Erud - Vault of the Formless.
FALSE,Meteorite Shard Ring,Increases Encumbrance by 50. Increases Unarmed damage by 50%.,"Can be found in N'Erud.
Can be crafted at Drzyr Replicator, you will need the following Materials: x10 Iron, 750 Scrap."
FALSE,Microcompressor,Reduces Heat Generation when firing weapons that Overheat by -30%. Increases Heat Reduction Rate by 30%.,"Can be found in N'Erud.
Can be crafted at Drzyr Replicator, you will need the following Materials: x10 Forged Iron, 750 Scrap."
FALSE,Momentum Driver,"After Sprinting for 2s, Movement Speed is increased by 15%and Stagger Level reduced by 1.",Can be found in N'Erud -
FALSE,Offering Stone,"Dealing Ranged Damage increases all Damage by 1% for 1s. Stacks 15x. After killing an enemy, extends the duration to 10s.",Can be found in Losomn as a random drop.
FALSE,Outcast Ring,Increases Reload Speed by 5% for 15s after reloading. Stacks 5x.,"Can be found in Losomn, after completing the Man in the Sewers event. You have to give him the Spirit Wisp Amulet, and in turn you will receive the Outcast Ring"
FALSE,Painless Obsidian,"When Grey Health is present, gain Haste.",Losomn Random World Drop
FALSE,Point Focus Ring,Reduces Initial Spread and Recoil by 35%.,Can be found in N'Erud as a random drop.
FALSE,Power Complex,Increases All Damage dealt by 1% per second to a maximum of 15%. Dodging resets Power Complex to 0%,"Can be found in N'Erud as a random drop.
Exclusive Ring for The Awakened King DLC."
FALSE,Power Saver,"At Max Health, gain a 25% chance to not use a Relic charge.",Can be found in N'Erud.
FALSE,Probability Cord,Increases Crit Damage by 30%.,Can be found in Root Earth - Corrupted Harbor.
FALSE,Propulsion Loop,"After killing an enemy, increases Movement Speed by 5% and Consumable Use Speed by 10% for 10s. Stacks 3x.",Can be found in N'Erud.
FALSE,Provisioner Ring,Firearms reload over time while stowed.,Can be bought from Reggie after deferating the Labyrinth Sentinel in Hardcore mode on any difficulty.
FALSE,Reaping Stone,"After an Elemental Status Effect is removed from wearer, they become immune to all Elemental Status Effects and gain 3%of base damage dealt as Lifesteal for 10s.",Can be found in Root Earth - Ashen Wasteland.
FALSE,Red Ring of Death,Duplicates the last damaging Negative Status applied to target. Reduces outgoing Status Effect Damage by 10%.,Found randomly in Losomn
FALSE,Rerouting Cable,Gain 5% of Max Health as a SHIELD for 5s after spending 20 Stamina. Accumulation resets after 5s of inaction. Max 50% SHIELD.,Can be found in N'Erud - Vault of the Formless.
FALSE,Reserve Boosting Gem,"Increases Health Regeneration by 0.333 per second. 1s after going below 50% Health, increases regeneration value to 2per second until 50% Health is reached.",Can be found in N'Erud - The Hatchery.
FALSE,Restriction Cord,Restricts the wearer from Healing above 50% of their Max Health and reduces all incoming damage by 15%.,Can be bought from Bedel of The Vaunntin Yaesha.
FALSE,Ring of Crisis,"When wearer's Health drops below 25%, gain a Shield for 25% of Max Health. Lasts 10s.",Can be found in N'Erud - The Hatchery.
FALSE,Ring Of Deflection,Direct Damage against wearer has a 35% Chance to be converted entirely to Grey Health.,Can be found in N'Erud -
FALSE,Ring of Diversion,Increases invulnerability window while evading and sliding.,"Can be found in Yaesha - The Lament, inside the tomb past the floating pillar trap. The door to the tomb is opened with Kolket's Key."
FALSE,Ring of Flawed Beauty,Ranged Weakspot damage is increased by 25%. Ranged damage is reduced by 15% when failing to hit a Weakspot.,Can be bought from Cass.
FALSE,Ring of Grace,Taking enemy damage causes 15% of Maximum Health to regenerate over 10s.,"Can be found in Losomn - Harvester's Reach, by completing Riewen's request."
FALSE,Ring of Infinite Damage,Increases fire rate by 8%.,"Refuse to give the Bookbound Medallion to Leywise the first time, and accept the second time.
Exclusive Ring for The Awakened King DLC."
FALSE,Ring of Omens,Evades cost 15% Max Health as Grey Health instead of Stamina.,Can be found in Yaesha - Cathedral of Omens. After solving the Blood Moon puzzle (opening the right side door) can be found behind a red trap door on the ground. Trap door only opens if a Blood Moon is present.
FALSE,Ring Of Restocking,Reloads within 1.5s of a Critical Hit or Weakspot Kill are 20%faster.,"Can be found in N'Erud, Random Drop."
FALSE,Ring Of Retribution,Incoming enemy damage increases Reload Speed and all outgoing damage by 10%. Lasts 15s.,Feed Dria's Anklet at the Nightweaver's Web.
FALSE,Ring of the Castaway,Increases base Consumable Duration by 50%,"Can be found in The Forgotten Comune. In the scaffolding area, climb up and jump to the side to find it on a body"
FALSE,Ring of the Damned,Increases all damage dealt by10% while Grey Health is present.,"Can be found in Losomn, The Great Sewers."
FALSE,Ring of the Forest Spirit,Relic Healing Effectiveness is increased by 15%.,Can be found in Yaesha - The Forbidden Grove or The Forgotten Field as a random drop.
FALSE,Ring of the Robust,"Increases Max Health by 10, and Armor by 20.",Can be found in Losomn as a random drop.
FALSE,Ring of the Vain,Reduces Invulnerability Window on Evade and Combat Slide by 50%. Increases Movement Speed while aiming by 35%,Random world drop in Losomn
FALSE,Rock of Anguish,Gain 5% Movement Speed and 7.5% Reload Speed for every 25% of Max Healthmissing.,Can be bought from Cass.
FALSE,Rotward,Prevents ROOT ROT Blight.,Can be bought from Bedel of The Vaunntin Yaesha.
FALSE,Rusted Heirloom,Grants 2 Stacks of BULWARK below 50% Max HP.,"Can be found in Losomn sewer locations, in a hidden room in a locked safe."
FALSE,Sagestone,Increases earned Experience by 10%.,"Yaesha - Possible spawn in The Lament
Yaesha - Possible spawn in The Twisted Chantry"
FALSE,Sapphire Dreamstone,Critical Hits reduce Skill Cooldowns by 3%. Can only happen once every 2s.,Can be found in Losomn - Council Chamber. Players have to take a secret path in order to find it.
FALSE,Seal of the Empress,Increases Max Health by 20. Reduces Max Stamina by 5.,Can be found in Yaesha - The Red Throne. Rewarded by The Eternal Empress if the player finishes the main quest without giving her the Thaen Seed.
FALSE,Shadow of Misery,Increase Status Effect Damage by 15%,Random world drop in Losomn
FALSE,Shaed Stone,Increases Skill damage by 12%,Can be found at Glistering Cloister Dungeon: Can be found by solving the mirror puzzle.
FALSE,Shard Banded Ring,Increases Mod damage by 12%.,Can be found in The Labyrinth.
FALSE,Shiny Hog Lure,Reloading grants 25-30 Mod Power to both weapons based on percentage of Magazine reloaded.,Can be found in Losomn - Butcher's Quarter.
FALSE,Singed Ring,Increases all damage dealt to BURNING enemies by 10%.,Can be found in Losomn - Butcher's Quarter. watch or fail to save the hanging man during the burning event. use the checkpoint and then kill the pig next to the man
FALSE,Slayer's Crest,Increases Melee damage by 25% when attacking enemies from behind,Can be found in Yaesha - The Nameless Nest.
FALSE,Soul Guard,Gain a stack of BULWARK for each active Summon.,"Can be found in Yaesha 
Can be crafted at Bloodmoon Altar. Required Material: Blood Moon Essence"
FALSE,Soul Link,Summons Lifesteal 5% of base damage dealt which returns to the wearer as Health.,Can be found in Yaesha - The Withering Weald - The Nameless Nest.
FALSE,Soul Shard,Increase all damage dealt by 4% for each summon. Max 12%,Can be found in Yaesha as a random drop.
FALSE,Spirit Stone,Increases Mod Power generation by 10%.,Can be found in Yaesha - The Twisted Chantry.
FALSE,Stockpile Charger,"After picking up ammo, increases the damage of that Ammo Type by 13% for 20s.",Can be found in Losomn as a random drop.
FALSE,Stone of Balance,Increases all damage by 7%.,Can be found on Yaesha. Random drop.
FALSE,Stone of Continuance,Increases Skill Duration by 25%.,Can be found in N'Erud - Tower of the Unseen. Random Drop.
FALSE,Stone of Expanse,Increases Ranged damage by 12%. Reduces all other damage dealt by 6%.,Can be found in N'Erud.
FALSE,Stone Of Malevolence,Elemental Status damage generates 15% additional Mod Power.,Can be found in Losomn - random world drop.
FALSE,Stream Coupler,Using a Skill regenerates 10% of Max Health over 5s.,"Can be found in Losomn - Cotton's Kiln, random world drop."
FALSE,Subterfuge Link,"After killing an enemy, increases the Cast Speed of the next Mod or Skill Cast by 35%. Lasts 15s or until consumed.",Can be found in N'Erud.
FALSE,Suppression Ward,Prevents SUPPRESSION Blight.,"Can be found in N'Erud.
Can be crafted at Drzyr Replicator, you will need the following Materials: x5 Iron, 250 Scrap."
FALSE,Targeting Jewel,Increases Range on all Firearms by 4m. Reduces Spread by 15%.,Can be found in N'Erud.
FALSE,Tarnished Ring,Increases damage of Unarmed Attacks by 30%.,"It can be found in Ward 13.
Near the armor merchant, there is a ladder, climb that ladder and talk to the man on the bed. He'll mention a story, keep interacting with him until he gives you the ring."
FALSE,Tear of Kaeula,Increases Relic capacity by 2 while equipped,Can be found in Yaesha - Kaeula's Rest.
FALSE,Tempest Conduit,"After receiving Elemental Damage, increases all damage dealt by 10% and Resistance to the received Element by 20 for 20s.",Can be found in Yaesha - Endaira's End.
FALSE,Tightly Wound Coil,"When spending 75% or more of current magazine, gain a SHIELD ofr 15% of Max Health for 5s. Does not stack with itself.",Can be found in N'Erud - Void Vessel Facility.
FALSE,Timekeeper's Jewel,Increases the duration of all Status Effects applied by wearer. Durations varies per status.,Can be found in Losomn at the top of the Hewdas Clock. Open the chest near one of the windows to find it.
FALSE,Tomb Dweller's Ring,"Increases Movement Speed by 10% for 7s after Vaulting, Climbing, Leaping, and entering Water, stacks 3x. Reduces Fall Damage by 25%.",Can be found in Yaesha - The Lamentafter going through a hidden passageway.
FALSE,Vacuum Seal,"Increases Automatic Pickup Range for Scrap by 150%. Picking up Scrap, Iron, or Ammo grants a SHIELD for 15% of Max Health for l0s Does not stack.",Can be found in N'Erud - Tower of the Unseen. Random Drop.
FALSE,Vestige of Power,"After 7s of not being damaged, increases Ranged and Melee Damage by 10%.",Can be found in Yaesha - The Chimney - Faithless Thicket
FALSE,Wax Sealed Ring,Killing blows increase Ranged and Melee Damage by 4% for 15s. Stacks 3x.,Can be found in Yaesha - The Far Woods.
FALSE,White Glass Bead,Perfect Dodge applies a SHIELD for 15% of Max Health. Lasts 10s. Cannot Stack with itself.,Acquired by insisting Leywise eat the Feast Master's Leftovers given to you by the Feastmaster in The Great Hall assuming you've met Leywise prior to the conversation on the same world roll of The Awakened King DLC. This also unlocks an Achievement called A Foul Feast.
FALSE,White Pawn Stamp,Reduces Mod Power Requirement by 10%.,Can be found in Losomn. Player needs to complete The Flames Event using only the White Flames.
FALSE,Wind Hollow Circlet,Increases Reload Speed by 12%.,Can be found in Yaesha - Endaira's End.
FALSE,Wood Ring,Increases Stagger Damage by 15%,Can be found in Losomn as a random drop.
FALSE,Worn Admiral's Ring,All damage received is increased by 200%. All damage dealt is increased by 10%.,Can be bought from Reggie at Ward 13 for 500
FALSE,Zania's Malice,Dealing Weakspot damage increases Weakspot damage by 10% for 7s. Stacks 3x.,Can be found in Root Earth - Ashen Wasteland.
FALSE,Zohee's Ring,Increases Mod Duration by 15%.,"Can be found in Yaesha - Red Throne. Given to the player by Queen's Assistant after defeating the Corruptor, if Arrest  event was triggered."